cadastralNumber,address,dateEvent,datePublic,meetsDesignation,objectType,result,notAllowed
77:01:0003005:2285,"г. Москва, р-н Басманный, наб Академика Туполева, д 15, пом V, этаж 1, помещение V - комнаты с 1 по 4",19.01.2022,24.01.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0003005:2275,"г. Москва, р-н Басманный, наб Академика Туполева, д 15, технический этаж, помещение IX - комнаты 2, 3",19.01.2022,24.01.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0003005:2279,"г. Москва, р-н Басманный, наб Академика Туполева, д 15, пом XIV, этаж 1, помещение XIV - комнаты 1, 2",19.01.2022,24.01.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0003005:2278,"г. Москва, р-н Басманный, наб Академика Туполева, д 15, пом XXI, технический этаж, помещение XXI - комнаты с 1 по 4",19.01.2022,24.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0004014:4492,"г. Москва, р-н Пресненский, ул Зоологическая, д 4, подвал, помещение II - комнаты с 1 по 3, 3а, с 4 по 26; этаж 1, помещение IV - комнаты с 1 по 26; этаж 2, помещение III - комнаты с 1 по 50",17.01.2022,24.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0003005:2269,"г. Москва, р-н Басманный, наб Академика Туполева, д 15, пом XVII, этаж технический, помещение XVII - комнаты с 1 по 3",19.01.2022,24.01.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0003006:6036,"г. Москва, р-н Басманный, наб Академика Туполева, д 15, этаж 1, помещение XXV - комната 43",19.01.2022,24.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0003005:2286,"г. Москва, р-н Басманный, наб Академика Туполева, д 15, этаж 1, помещение VII - комнаты с 3 по 5",19.01.2022,24.01.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0003006:6035,"г. Москва, р-н Басманный, наб Академика Туполева, д 15, этаж 1, помещение XXV - комната 40",19.01.2022,24.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0003006:6038,"г. Москва, р-н Басманный, наб Академика Туполева, д 15, этаж 1, помещение XXV - комната 48",19.01.2022,24.01.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0004014:5081,"г. Москва, Пресненский, ул Грузинская Б., д 42, (этаж 1, помещение I - комната 12д)",19.01.2022,24.01.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0004018:6384,"г. Москва, Пресненский, ул Грузинская Б., д 42, (этаж 1, помещение I - комнаты 12б, 12ж)",17.01.2022,24.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0004014:3470,"г. Москва, р-н Пресненский, ул Зоологическая, д 4, пом II",17.01.2022,24.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0003006:6047,"г. Москва, р-н Басманный, наб Академика Туполева, д 15, этаж 1, помещение XXV - комната 42",19.01.2022,24.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0004014:3689,"г. Москва, ул Зоологическая, д 30, строен 2, пом II",17.01.2022,24.01.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0004014:5137,"г. Москва, ул Большая Грузинская, д 50, строение 1",17.01.2022,24.01.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется в целях делового, административного или коммерческого назначения",
77:01:0004014:1043,"г. Москва, р-н Пресненский, ул Грузинская Б., д 52",19.01.2022,24.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0004014:1058,"г. Москва, р-н Пресненский, пер Красина, д 15, строен 1",17.01.2022,24.01.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0004023:1116,"г. Москва, р-н Пресненский, пер Столярный, д 7, строен 1",17.01.2022,24.01.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:05:0002002:1112,"г. Москва, р-н Даниловский, проезд Автозаводский 3-й, д 4, корп 1",14.01.2022,24.01.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",⛔️
77:05:0010004:30623,"г. Москва, ул Михневская, д 8",13.01.2022,21.01.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",⛔️
77:07:0016003:1876,"г. Москва, ул Интернациональная, д 12, пом XX",20.01.2022,21.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004006:1033,"г. Москва, р-н Кунцево, ул Молодогвардейская, д 61, строен 3",21.01.2022,21.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004006:1845,"г. Москва, ул Молодогвардейская, д 61",21.01.2022,21.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004006:1090,"г. Москва, р-н Кунцево, ул Молодогвардейская, д 61, строен 27",21.01.2022,21.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004006:1040,"г. Москва, р-н Кунцево, ул Молодогвардейская, д 61, строен 28",21.01.2022,21.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004006:1039,"г. Москва, р-н Кунцево, ул Молодогвардейская, д 61, строен 13",21.01.2022,21.01.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0016005:2521,"г. Москва, п Внуково, ул Центральная, д 4",20.01.2022,21.01.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется в целях делового, административного или коммерческого назначения",
77:07:0016002:1078,"г. Москва, р-н Внуково, ул Внуковская Б., д 2а, строен 2",13.01.2022,21.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004006:1088,"г. Москва, р-н Кунцево, ул Молодогвардейская, д 61, строен 4",21.01.2022,21.01.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004006:1063,"г. Москва, р-н Кунцево, ул Молодогвардейская, д 61, строен 10",21.01.2022,21.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:06:0006005:17086,"г. Москва, Коньково, ул Островитянова, д 53, пом XXX, (этаж 1, помещение XXX - комнаты с 1 по 3)",19.01.2022,21.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:06:0002010:1033,"г. Москва, ул Гримау, д 10А, строение 2",20.01.2022,21.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004006:1037,"г. Москва, р-н Кунцево, ул Молодогвардейская, д 61, строен 7",21.01.2022,21.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0016002:1077,"г. Москва, р-н Внуково, ул Внуковская Б., д 2а, строен 1",13.01.2022,21.01.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0016002:1082,"г. Москва, р-н Внуково, ул Внуковская Б., д 2а, строен 8",13.01.2022,21.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0016002:1083,"г. Москва, р-н Внуково, ул Внуковская Б., д 2а, строен 9",13.01.2022,21.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0016002:1070,"г. Москва, ул Внуковская Б., д 2Б",13.01.2022,21.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0016002:1081,"г. Москва, р-н Внуково, ул Внуковская Б., д 2а, строен 6",13.01.2022,21.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0016001:1148,"г. Москва, р-н Внуково, ул Рассказовская, д 22а",20.01.2022,21.01.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0016002:1100,"г. Москва, р-н Внуково, улица 1-я Рейсовая, д 16",20.01.2022,21.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0016002:4886,"г. Москва, ул Внуковская Б., д 2А, строен 4",13.01.2022,21.01.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется в целях делового, административного или коммерческого назначения",
77:07:0016002:1046,"г. Москва, р-н Внуково, ул Внуковская Б., д 2а, строен 10",13.01.2022,21.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0016002:1079,"г. Москва, р-н Внуково, ул Внуковская Б., д 2а, строен 3",13.01.2022,21.01.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется в целях делового, административного или коммерческого назначения",
77:07:0003003:2470,"г. Москва, р-н Кунцево, ул Маршала Тимошенко, д 17, корп 2, пом XV",20.01.2022,21.01.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",⛔️
77:07:0003003:3388,"г. Москва, р-н Кунцево, ул Маршала Тимошенко, д 17, корп 1, пом IX, этаж 1, помещение IX - комнаты с 1 по 8",19.01.2022,21.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004005:1099,"г. Москва, р-н Кунцево, ш Рублёвское, д 83, корп 1",19.01.2022,21.01.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004003:1134,"г. Москва, р-н Кунцево, ул Партизанская, д 25",18.01.2022,21.01.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:06:0007006:1011,"г. Москва, р-н Теплый Стан, ул Профсоюзная, д 160",29.12.2021,21.01.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",⛔️
77:09:0002006:1154,"г. Москва, р-н Дмитровский, ул Дубнинская, д 81а, строен 7",19.01.2022,21.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:09:0002006:1118,"г. Москва, р-н Восточное Дегунино, ул Дубнинская, д 83а",11.01.2022,21.01.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0006023:1098,"г. Москва, р-н Таганский, ул Марксистская, д 34, корп 5",10.01.2022,20.01.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0001082:1117,"г. Москва, р-н Басманный, ул Машкова, д 3, строен 1",17.01.2022,20.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0001099:1022,"г. Москва, р-н Тверской, улица Тверская, д 26/1",17.01.2022,20.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0004017:1014,"г. Москва, р-н Тверской, ул Тверская-Ямская 1-я, д 32",17.01.2022,20.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0003026:1033,"г. Москва, р-н Басманный, ул Фридриха Энгельса, д 75, строен 5",12.01.2022,20.01.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется в целях делового, административного или коммерческого назначения",
77:06:0006005:16958,"г. Москва, ул Академика Арцимовича, д 8, (антресоль 1, помещение I - комнаты с 1 по 8, 8а, 8б, с 20 по 22; помещение II - комнаты с 9 по 19; этаж 1, помещение II - комнаты с 1 по 6, 6а, 6б, 11, 11а, 12, 13, 13а, 14, 14а, 14б, 15, 16, 16а, 16б, с 17 по 19)",18.01.2022,20.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:06:0006005:16993,"г. Москва, р-н Коньково, ул Островитянова, д 13, этаж 2, помещение XXIV - комнаты с 1 по 10",18.01.2022,20.01.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:06:0006005:16994,"г. Москва, р-н Коньково, ул Островитянова, д 13, пом XXV, этаж 2, помещение XXV - комнаты с 1 по 10",18.01.2022,20.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:06:0009001:1020,"г. Москва, р-н Ясенево, ул Голубинская, вл 4а, строен 2",29.12.2021,20.01.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:06:0009001:1036,"г. Москва, ул Голубинская, вл 4А, строен 1",29.12.2021,20.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:16:0010105:27004,"г. Москва, ул Вертолётчиков, д 4, корп 8",18.01.2022,19.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:16:0010105:28012,"г. Москва, ул Вертолётчиков, д 4, корп 6",18.01.2022,19.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:04:0006003:1061,"г. Москва, ул Вольская 1-я, д 26",18.01.2022,19.01.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:00:0000000:41469,"г. Москва, р-н Некрасовка, ул Рождественская, д 14, корп 2",18.01.2022,19.01.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:04:0006002:1019,"г. Москва, р-н Некрасовка, ул Вольская 2-я, д 17а, строен 1",18.01.2022,19.01.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется в целях делового, административного или коммерческого назначения",
77:07:0013005:1070,"г. Москва, р-н Проспект Вернадского, ул Удальцова, д 60",19.01.2022,19.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0013001:3374,"г. Москва, ул. Минская, д. 1А, строен. 2",19.01.2022,19.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004003:1077,"г. Москва, р-н Кунцево, ул Партизанская, д 27",18.01.2022,19.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004005:1089,"г. Москва, р-н Кунцево, ул Ярцевская, д 36, корп 1",18.01.2022,19.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004002:9254,"г. Москва, р-н Кунцево, ул Партизанская, д 35, корп 3, этаж 2, помещение II - комнаты с 1 по 16, 27, 28",18.01.2022,19.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004006:2403,"г. Москва, р-н Кунцево, ул Ивана Франко, д 46, строен 3",18.01.2022,19.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004003:1171,"г. Москва, ул Молодогвардейская, д 54, строен 43",17.01.2022,19.01.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0018001:1054,"г. Москва, р-н Кунцево, ул Василия Ботылева, д 12",17.01.2022,19.01.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется в целях делового, административного или коммерческого назначения",
77:07:0004008:6382,"г. Москва, Кунцево, ул Екатерины Будановой, д 5, пом III",14.01.2022,19.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004008:8773,"г. Москва, Кунцево, ул Екатерины Будановой, д 5, пом II, (этаж 1, помещение II - комнаты с 1 по 3)",14.01.2022,19.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004006:1110,"г. Москва, р-н Кунцево, ул Ивана Франко, д 48, корп г, строен 4",17.01.2022,19.01.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется в целях делового, административного или коммерческого назначения",
